feedback,sentiment,timestamp,department,patient_age_group,visit_type
Cleanliness issues in the facility. The doctor didn't address my concerns. Excessive waiting time.,0,2024-10-25 11:26:59.483148,Oncology,46-60,Routine Checkup
Poor treatment experience.,0,2024-10-25 11:26:59.483504,Surgery,18-30,Emergency
"Had to wait too long. Moreover, The receptionist didn't address my concerns.",0,2024-10-25 11:26:59.486168,Orthopedics,61-75,Emergency
"Impressed with how quickly I was seen. Additionally, The specialist was extremely professional and caring. Additionally, The facility was clean and modern.",2,2024-10-25 11:26:59.486381,Obstetrics,18-30,Consultation
Outdated equipment. The treatment wasn't effective. The nurse didn't address my concerns.,0,2024-10-25 11:26:59.486900,Cardiology,31-45,Routine Checkup
The medical team was present when needed.,1,2024-10-25 11:26:59.487483,Oncology,46-60,Procedure
Cleanliness issues in the facility! The healthcare provider seemed rushed and inattentive.,0,2024-10-25 11:26:59.488554,Obstetrics,18-30,Emergency
"State-of-the-art equipment. Moreover, medical team provided excellent care and attention.",2,2024-10-25 11:26:59.491109,Pediatrics,46-60,Routine Checkup
"The healthcare provider was okay. Also, Regular treatment process.",1,2024-10-25 11:26:59.493031,Pediatrics,46-60,Emergency
Standard hospital environment.,1,2024-10-26 11:26:59.447322,Cardiology,31-45,Routine Checkup
Outdated equipment.,0,2024-10-26 11:26:59.447568,Pediatrics,75+,Consultation
Well-maintained hospital environment.,2,2024-10-26 11:26:59.447919,Emergency,46-60,Emergency
Excellent facilities! No delays in the appointment.,2,2024-10-26 11:26:59.448830,Surgery,46-60,Procedure
The staff member took time to explain everything clearly. The facility was clean and modern.,2,2024-10-26 11:26:59.449297,Neurology,18-30,Follow-up
"Poor maintenance of the premises. Moreover, The procedure didn't help much.",0,2024-10-26 11:26:59.450823,Neurology,75+,Follow-up
"Excellent treatment results. Also, Impressed with how quickly I was seen.",2,2024-10-26 11:26:59.451739,Cardiology,75+,Follow-up
Exceptional service from the surgeon. Well-maintained hospital environment. Got seen right away.,2,2024-10-26 11:26:59.455604,Obstetrics,61-75,Follow-up
Disappointed with the specialist's attitude! The facility needs updating! The treatment wasn't effective.,0,2024-10-26 11:26:59.457379,Cardiology,46-60,Follow-up
"Treatment was as expected. Also, The surgeon was okay.",1,2024-10-26 11:26:59.457756,Orthopedics,46-60,Emergency
Well-maintained hospital environment! Exceptional service from the staff member.,2,2024-10-26 11:26:59.463315,Obstetrics,75+,Emergency
Acceptable cleanliness.,1,2024-10-26 11:26:59.463978,Emergency,75+,Routine Checkup
Poor treatment experience.,0,2024-10-26 11:26:59.467257,Oncology,31-45,Consultation
Poor treatment experience! The doctor was not very helpful! Cleanliness issues in the facility.,0,2024-10-26 11:26:59.468433,Pediatrics,31-45,Routine Checkup
The care team took time to explain everything clearly.,2,2024-10-26 11:26:59.474064,General Medicine,31-45,Emergency
"Spent hours waiting. Additionally, Not happy with the results. Additionally, The care team seemed rushed and inattentive.",0,2024-10-26 11:26:59.475158,Pediatrics,31-45,Routine Checkup
"Acceptable cleanliness. Also, Waited as expected.",1,2024-10-26 11:26:59.475949,Cardiology,46-60,Follow-up
"The facility was clean and modern. Also, The procedure went very well. Also, Impressed with how quickly I was seen.",2,2024-10-26 11:26:59.476590,Neurology,18-30,Follow-up
The receptionist was okay. Standard procedure.,1,2024-10-26 11:26:59.476685,Obstetrics,31-45,Routine Checkup
Basic but functional facility.,1,2024-10-26 11:26:59.478683,Orthopedics,31-45,Consultation
The medical team didn't address my concerns.,0,2024-10-26 11:26:59.481131,Pediatrics,18-30,Routine Checkup
"Minimal waiting time. Additionally, Exceptional service from the receptionist.",2,2024-10-26 11:26:59.482589,Emergency,61-75,Routine Checkup
Had to wait too long.,0,2024-10-26 11:26:59.487582,Orthopedics,61-75,Procedure
"Average waiting time. Additionally, healthcare provider did their job as expected.",1,2024-10-26 11:26:59.487755,Emergency,31-45,Follow-up
"Regular interaction with the doctor. Also, Basic but functional facility.",1,2024-10-26 11:26:59.489874,Cardiology,18-30,Procedure
"Very impressed with the nurse's expertise. Also, Excellent treatment results.",2,2024-10-26 11:26:59.490587,Surgery,46-60,Follow-up
"Unacceptable delays. Moreover, Unsatisfactory treatment outcome. Moreover, The facility needs updating.",0,2024-10-27 11:26:59.444241,Surgery,75+,Routine Checkup
The doctor seemed rushed and inattentive.,0,2024-10-27 11:26:59.448938,Orthopedics,18-30,Follow-up
"Outdated equipment. Also, The physician didn't address my concerns.",0,2024-10-27 11:26:59.454418,Obstetrics,46-60,Emergency
"The healthcare provider took time to explain everything clearly. Additionally, Very comfortable environment. Additionally, Very efficient process.",2,2024-10-27 11:26:59.455945,Pediatrics,31-45,Routine Checkup
"Well-maintained hospital environment. Also, Completely satisfied with the care received.",2,2024-10-27 11:26:59.459968,Pediatrics,46-60,Procedure
Regular treatment process. The wait was reasonable. Regular facility conditions.,1,2024-10-27 11:26:59.462615,Neurology,61-75,Emergency
"Exceptional service from the specialist. Additionally, No delays in the appointment.",2,2024-10-27 11:26:59.464240,Cardiology,61-75,Consultation
"Not happy with the results. Additionally, Uncomfortable environment.",0,2024-10-27 11:26:59.465359,Neurology,75+,Consultation
"The facility was clean and modern. Also, Completely satisfied with the care received.",2,2024-10-27 11:26:59.465766,Oncology,46-60,Consultation
The procedure didn't help much.,0,2024-10-27 11:26:59.468084,General Medicine,75+,Procedure
"Minimal waiting time. Also, Great outcome from the treatment.",2,2024-10-27 11:26:59.469273,Neurology,31-45,Follow-up
"Completely satisfied with the care received. Additionally, Exceptional service from the surgeon.",2,2024-10-27 11:26:59.475182,Surgery,61-75,Follow-up
"The specialist seemed rushed and inattentive. Additionally, Unsatisfactory treatment outcome.",0,2024-10-27 11:26:59.475612,Cardiology,31-45,Consultation
"Poor communication from the staff member. Additionally, Cleanliness issues in the facility.",0,2024-10-27 11:26:59.483035,Cardiology,18-30,Procedure
No delays in the appointment. Exceptional service from the specialist.,2,2024-10-27 11:26:59.484792,Pediatrics,18-30,Follow-up
Very impressed with the doctor's expertise.,2,2024-10-27 11:26:59.486227,Surgery,31-45,Consultation
Cleanliness issues in the facility.,0,2024-10-27 11:26:59.487386,Neurology,61-75,Procedure
"Exceptional service from the medical team. Also, Minimal waiting time.",2,2024-10-27 11:26:59.488974,Emergency,31-45,Follow-up
"Average waiting time. Also, physician did their job as expected.",1,2024-10-27 11:26:59.489857,General Medicine,18-30,Follow-up
Completely satisfied with the care received! Excellent facilities! Exceptional service from the doctor.,2,2024-10-27 11:26:59.490080,General Medicine,18-30,Routine Checkup
"The wait was reasonable. Also, Acceptable cleanliness. Also, Regular treatment process.",1,2024-10-27 11:26:59.492181,General Medicine,75+,Procedure
Unsatisfactory treatment outcome.,0,2024-10-28 11:26:59.450738,Cardiology,61-75,Consultation
"The procedure didn't help much. Also, Uncomfortable environment.",0,2024-10-28 11:26:59.452559,Surgery,31-45,Emergency
"Very impressed with the care team's expertise. Also, No delays in the appointment. Also, Completely satisfied with the care received.",2,2024-10-28 11:26:59.453462,Pediatrics,18-30,Emergency
The waiting time was frustrating.,0,2024-10-28 11:26:59.457273,Surgery,46-60,Consultation
Average waiting time.,1,2024-10-28 11:26:59.460264,Surgery,18-30,Routine Checkup
The medical team was not very helpful! The waiting time was frustrating.,0,2024-10-28 11:26:59.462050,Oncology,31-45,Routine Checkup
Got seen right away.,2,2024-10-28 11:26:59.466651,Neurology,61-75,Procedure
Completely satisfied with the care received! Very efficient process.,2,2024-10-28 11:26:59.467942,Pediatrics,18-30,Routine Checkup
State-of-the-art equipment.,2,2024-10-28 11:26:59.470086,Neurology,18-30,Follow-up
The facility needs updating.,0,2024-10-28 11:26:59.471083,Obstetrics,61-75,Follow-up
Spent hours waiting.,0,2024-10-28 11:26:59.472493,Surgery,18-30,Follow-up
Great outcome from the treatment.,2,2024-10-28 11:26:59.476790,General Medicine,31-45,Procedure
Cleanliness issues in the facility.,0,2024-10-28 11:26:59.481750,Oncology,75+,Follow-up
Great outcome from the treatment.,2,2024-10-28 11:26:59.481824,Orthopedics,61-75,Routine Checkup
Treatment was as expected.,1,2024-10-28 11:26:59.487884,Neurology,61-75,Routine Checkup
Excessive waiting time. Not happy with the results.,0,2024-10-28 11:26:59.488776,Neurology,46-60,Consultation
"The facility needs updating. Additionally, Unsatisfactory treatment outcome. Additionally, Excessive waiting time.",0,2024-10-28 11:26:59.489750,Neurology,75+,Follow-up
"The medical team didn't address my concerns. Moreover, Excessive waiting time. Moreover, The procedure didn't help much.",0,2024-10-28 11:26:59.491891,Pediatrics,46-60,Routine Checkup
"No delays in the appointment. Moreover, Very effective treatment.",2,2024-10-29 11:26:59.445709,Pediatrics,46-60,Procedure
The surgeon took time to explain everything clearly! The procedure went very well.,2,2024-10-29 11:26:59.446690,Obstetrics,46-60,Procedure
"Treatment was as expected. Moreover, Acceptable cleanliness.",1,2024-10-29 11:26:59.449444,Orthopedics,18-30,Procedure
"Spent hours waiting. Moreover, Disappointed with the specialist's attitude.",0,2024-10-29 11:26:59.450805,Obstetrics,18-30,Follow-up
The care team took time to explain everything clearly! Well-maintained hospital environment.,2,2024-10-29 11:26:59.454146,Pediatrics,46-60,Emergency
Got seen right away! The staff member was extremely professional and caring.,2,2024-10-29 11:26:59.460642,General Medicine,46-60,Procedure
"Regular treatment process. Moreover, Average waiting time. Moreover, Regular interaction with the receptionist.",1,2024-10-29 11:26:59.462232,Neurology,18-30,Procedure
doctor provided excellent care and attention. Very effective treatment. Minimal waiting time.,2,2024-10-29 11:26:59.463475,Obstetrics,75+,Emergency
"The facility was clean and modern. Moreover, The surgeon was extremely professional and caring. Moreover, Got seen right away.",2,2024-10-29 11:26:59.463612,General Medicine,61-75,Follow-up
Unacceptable delays. Uncomfortable environment. The procedure didn't help much.,0,2024-10-29 11:26:59.463907,Cardiology,75+,Consultation
The surgeon was okay. Waited as expected.,1,2024-10-29 11:26:59.464340,Surgery,31-45,Consultation
Acceptable cleanliness.,1,2024-10-29 11:26:59.475226,Orthopedics,75+,Routine Checkup
Exceptional service from the staff member! The facility was clean and modern! Minimal waiting time.,2,2024-10-29 11:26:59.482512,Surgery,75+,Consultation
Regular treatment process. The wait was reasonable.,1,2024-10-29 11:26:59.483132,Emergency,18-30,Consultation
The physician took time to explain everything clearly. The procedure went very well. Very comfortable environment.,2,2024-10-29 11:26:59.483837,Neurology,61-75,Routine Checkup
"Basic but functional facility. Additionally, healthcare provider did their job as expected.",1,2024-10-29 11:26:59.484129,Obstetrics,18-30,Follow-up
The surgeon was okay! Regular treatment process.,1,2024-10-29 11:26:59.485024,Emergency,61-75,Emergency
Excellent facilities.,2,2024-10-29 11:26:59.489261,Oncology,61-75,Consultation
"Exceptional service from the doctor. Moreover, Completely satisfied with the care received.",2,2024-10-29 11:26:59.489554,Obstetrics,18-30,Consultation
"Had to wait too long. Additionally, Cleanliness issues in the facility. Additionally, Poor communication from the medical team.",0,2024-10-30 11:26:59.444709,General Medicine,31-45,Follow-up
The treatment was okay! The wait was reasonable.,1,2024-10-30 11:26:59.444775,Obstetrics,61-75,Emergency
Standard procedure.,1,2024-10-30 11:26:59.445943,Emergency,46-60,Procedure
"Great outcome from the treatment. Additionally, Very efficient process.",2,2024-10-30 11:26:59.447081,Orthopedics,75+,Emergency
Exceptional service from the staff member.,2,2024-10-30 11:26:59.447966,Neurology,18-30,Follow-up
Excellent facilities.,2,2024-10-30 11:26:59.448804,Emergency,75+,Follow-up
Regular interaction with the healthcare provider. Normal wait times. Regular facility conditions.,1,2024-10-30 11:26:59.450344,Obstetrics,31-45,Consultation
The procedure didn't help much! Spent hours waiting.,0,2024-10-30 11:26:59.455344,Cardiology,61-75,Consultation
Well-maintained hospital environment. Exceptional service from the staff member.,2,2024-10-30 11:26:59.456139,Obstetrics,46-60,Follow-up
Very effective treatment! Minimal waiting time! Well-maintained hospital environment.,2,2024-10-30 11:26:59.457585,Pediatrics,61-75,Procedure
staff member did their job as expected! The wait was reasonable.,1,2024-10-30 11:26:59.457676,Emergency,75+,Procedure
The surgeon didn't address my concerns. The waiting time was frustrating. Uncomfortable environment.,0,2024-10-30 11:26:59.458500,Cardiology,31-45,Procedure
The facility needs updating. Poor communication from the nurse. Unsatisfactory treatment outcome.,0,2024-10-30 11:26:59.462625,Pediatrics,75+,Procedure
The specialist took time to explain everything clearly.,2,2024-10-30 11:26:59.463127,Obstetrics,75+,Emergency
"Poor maintenance of the premises. Also, Had to wait too long.",0,2024-10-30 11:26:59.463660,Oncology,31-45,Follow-up
Unsatisfactory treatment outcome! Had to wait too long.,0,2024-10-30 11:26:59.464068,Orthopedics,31-45,Follow-up
Regular facility conditions.,1,2024-10-30 11:26:59.465058,Emergency,61-75,Follow-up
"Standard hospital environment. Moreover, Average waiting time.",1,2024-10-30 11:26:59.465162,Surgery,46-60,Emergency
The treatment was okay.,1,2024-10-30 11:26:59.465231,Obstetrics,46-60,Routine Checkup
Very effective treatment! Minimal waiting time! Very comfortable environment.,2,2024-10-30 11:26:59.466257,Pediatrics,31-45,Emergency
"Very comfortable environment. Moreover, Got seen right away.",2,2024-10-30 11:26:59.470326,General Medicine,61-75,Consultation
The specialist was not very helpful.,0,2024-10-30 11:26:59.471263,Oncology,31-45,Consultation
Got seen right away.,2,2024-10-30 11:26:59.473731,General Medicine,31-45,Routine Checkup
The specialist was okay.,1,2024-10-30 11:26:59.478789,Emergency,75+,Procedure
Great outcome from the treatment.,2,2024-10-30 11:26:59.478840,Neurology,75+,Procedure
Standard procedure. receptionist did their job as expected. The wait was reasonable.,1,2024-10-30 11:26:59.479983,Oncology,18-30,Routine Checkup
Poor communication from the receptionist.,0,2024-10-30 11:26:59.486422,General Medicine,46-60,Consultation
"Standard procedure. Moreover, Normal wait times. Moreover, Acceptable cleanliness.",1,2024-10-30 11:26:59.487451,Neurology,31-45,Procedure
Treatment was as expected! Waited as expected! Regular interaction with the doctor.,1,2024-10-31 11:26:59.445461,General Medicine,31-45,Routine Checkup
The care team seemed rushed and inattentive. The procedure didn't help much.,0,2024-10-31 11:26:59.447180,Orthopedics,31-45,Emergency
The care team was extremely professional and caring.,2,2024-10-31 11:26:59.448184,Obstetrics,18-30,Follow-up
Normal wait times.,1,2024-10-31 11:26:59.453641,Emergency,75+,Procedure
The procedure didn't help much.,0,2024-10-31 11:26:59.454567,Orthopedics,31-45,Routine Checkup
Standard procedure.,1,2024-10-31 11:26:59.457151,Oncology,61-75,Routine Checkup
"State-of-the-art equipment. Moreover, Very effective treatment. Moreover, The receptionist took time to explain everything clearly.",2,2024-10-31 11:26:59.458452,Oncology,46-60,Procedure
The procedure went very well.,2,2024-10-31 11:26:59.459582,Neurology,61-75,Follow-up
"Excellent facilities. Also, The surgeon was extremely professional and caring.",2,2024-10-31 11:26:59.463571,General Medicine,18-30,Emergency
The physician was extremely professional and caring! Got seen right away! Well-maintained hospital environment.,2,2024-10-31 11:26:59.464390,Surgery,46-60,Routine Checkup
State-of-the-art equipment! Exceptional service from the receptionist.,2,2024-10-31 11:26:59.466452,Obstetrics,75+,Routine Checkup
Acceptable cleanliness.,1,2024-10-31 11:26:59.468472,Neurology,18-30,Consultation
Completely satisfied with the care received.,2,2024-10-31 11:26:59.482733,General Medicine,46-60,Follow-up
Normal wait times. doctor did their job as expected.,1,2024-10-31 11:26:59.482738,Surgery,31-45,Routine Checkup
The doctor was extremely professional and caring! Impressed with how quickly I was seen.,2,2024-11-01 11:26:59.445256,Oncology,61-75,Procedure
"Exceptional service from the physician. Additionally, Excellent facilities. Additionally, Impressed with how quickly I was seen.",2,2024-11-01 11:26:59.445599,Surgery,61-75,Consultation
Poor maintenance of the premises. Excessive waiting time.,0,2024-11-01 11:26:59.446827,Oncology,61-75,Procedure
Basic but functional facility. staff member did their job as expected. Normal wait times.,1,2024-11-01 11:26:59.447528,Neurology,46-60,Follow-up
"Uncomfortable environment. Additionally, The specialist was not very helpful. Additionally, Excessive waiting time.",0,2024-11-01 11:26:59.450767,Surgery,61-75,Procedure
The treatment wasn't effective! Disappointed with the care team's attitude! Spent hours waiting.,0,2024-11-01 11:26:59.455312,Emergency,75+,Follow-up
Waited as expected.,1,2024-11-01 11:26:59.457462,Orthopedics,61-75,Routine Checkup
No delays in the appointment. Very effective treatment. The facility was clean and modern.,2,2024-11-01 11:26:59.458651,Surgery,61-75,Routine Checkup
Very impressed with the receptionist's expertise. Minimal waiting time.,2,2024-11-01 11:26:59.466810,General Medicine,18-30,Consultation
The waiting time was frustrating. Poor treatment experience.,0,2024-11-01 11:26:59.470384,Pediatrics,46-60,Routine Checkup
Regular treatment process! Regular interaction with the medical team! Basic but functional facility.,1,2024-11-01 11:26:59.470656,Surgery,31-45,Consultation
No delays in the appointment.,2,2024-11-01 11:26:59.473793,Cardiology,75+,Procedure
Basic but functional facility.,1,2024-11-01 11:26:59.473948,Pediatrics,61-75,Follow-up
"Very efficient process. Additionally, Great outcome from the treatment.",2,2024-11-01 11:26:59.475459,Pediatrics,18-30,Emergency
The healthcare provider took time to explain everything clearly.,2,2024-11-01 11:26:59.477707,Oncology,46-60,Routine Checkup
"Poor maintenance of the premises. Additionally, Spent hours waiting. Additionally, The treatment wasn't effective.",0,2024-11-01 11:26:59.478850,Pediatrics,61-75,Follow-up
"doctor provided excellent care and attention. Additionally, Very efficient process. Additionally, Excellent facilities.",2,2024-11-01 11:26:59.481731,Pediatrics,18-30,Consultation
The specialist was extremely professional and caring! State-of-the-art equipment! Great outcome from the treatment.,2,2024-11-01 11:26:59.481737,Cardiology,31-45,Emergency
Very comfortable environment.,2,2024-11-01 11:26:59.485612,Pediatrics,18-30,Follow-up
Outdated equipment. The treatment wasn't effective. Had to wait too long.,0,2024-11-01 11:26:59.485771,Pediatrics,46-60,Procedure
"Treatment was as expected. Also, Average waiting time.",1,2024-11-01 11:26:59.487146,Emergency,18-30,Follow-up
"Minimal waiting time. Moreover, Well-maintained hospital environment. Moreover, Great outcome from the treatment.",2,2024-11-01 11:26:59.487713,Oncology,75+,Procedure
Basic but functional facility.,1,2024-11-01 11:26:59.489601,Surgery,75+,Procedure
"Normal wait times. Moreover, healthcare provider did their job as expected. Moreover, Basic but functional facility.",1,2024-11-01 11:26:59.491375,Oncology,46-60,Procedure
"The medical team took time to explain everything clearly. Moreover, Very effective treatment.",2,2024-11-01 11:26:59.493086,Cardiology,46-60,Consultation
Average waiting time.,1,2024-11-02 11:26:59.445487,Surgery,61-75,Procedure
"Poor communication from the physician. Also, Uncomfortable environment.",0,2024-11-02 11:26:59.447117,Emergency,61-75,Emergency
"Regular facility conditions. Additionally, The surgeon was okay. Additionally, Treatment was as expected.",1,2024-11-02 11:26:59.448051,Oncology,18-30,Consultation
"The facility needs updating. Additionally, The treatment wasn't effective.",0,2024-11-02 11:26:59.451293,Neurology,46-60,Routine Checkup
"Cleanliness issues in the facility. Moreover, The waiting time was frustrating.",0,2024-11-02 11:26:59.451681,Orthopedics,46-60,Routine Checkup
Well-maintained hospital environment! The specialist took time to explain everything clearly! Minimal waiting time.,2,2024-11-02 11:26:59.453194,General Medicine,46-60,Procedure
Average waiting time.,1,2024-11-02 11:26:59.455646,Cardiology,75+,Emergency
Got seen right away! Excellent treatment results.,2,2024-11-02 11:26:59.456479,Oncology,46-60,Consultation
"Waited as expected. Also, Standard procedure. Also, The receptionist was okay.",1,2024-11-02 11:26:59.458140,Oncology,31-45,Consultation
"Regular facility conditions. Also, Normal wait times.",1,2024-11-02 11:26:59.459354,Oncology,61-75,Emergency
Treatment was as expected! Waited as expected.,1,2024-11-02 11:26:59.459698,Cardiology,46-60,Procedure
Treatment was as expected. The wait was reasonable.,1,2024-11-02 11:26:59.460882,Obstetrics,31-45,Consultation
"specialist provided excellent care and attention. Also, Impressed with how quickly I was seen.",2,2024-11-02 11:26:59.460923,Orthopedics,31-45,Routine Checkup
The wait was reasonable.,1,2024-11-02 11:26:59.461178,Pediatrics,18-30,Follow-up
Very impressed with the nurse's expertise! Great outcome from the treatment.,2,2024-11-02 11:26:59.462212,Orthopedics,18-30,Emergency
Excellent facilities.,2,2024-11-02 11:26:59.463291,Emergency,18-30,Follow-up
"The healthcare provider took time to explain everything clearly. Also, No delays in the appointment. Also, Excellent treatment results.",2,2024-11-02 11:26:59.465451,Oncology,31-45,Consultation
Average waiting time.,1,2024-11-02 11:26:59.468911,Oncology,31-45,Emergency
Excellent facilities.,2,2024-11-02 11:26:59.470474,Orthopedics,31-45,Procedure
The facility needs updating.,0,2024-11-02 11:26:59.471441,Cardiology,31-45,Procedure
Standard hospital environment! physician did their job as expected.,1,2024-11-02 11:26:59.471752,Neurology,31-45,Consultation
"Excessive waiting time. Additionally, Uncomfortable environment.",0,2024-11-02 11:26:59.472600,Pediatrics,46-60,Routine Checkup
Excellent treatment results.,2,2024-11-02 11:26:59.477219,General Medicine,61-75,Consultation
The treatment was okay.,1,2024-11-02 11:26:59.477236,Cardiology,61-75,Emergency
Very comfortable environment.,2,2024-11-02 11:26:59.477529,Obstetrics,75+,Routine Checkup
The medical team was present when needed! Basic but functional facility.,1,2024-11-02 11:26:59.482775,Pediatrics,18-30,Follow-up
"The treatment wasn't effective. Also, Outdated equipment.",0,2024-11-02 11:26:59.484077,Emergency,61-75,Consultation
"Got seen right away. Additionally, Excellent treatment results.",2,2024-11-02 11:26:59.485958,Cardiology,46-60,Procedure
Poor communication from the receptionist.,0,2024-11-02 11:26:59.486344,General Medicine,46-60,Routine Checkup
Not happy with the results! The physician seemed rushed and inattentive.,0,2024-11-02 11:26:59.486745,Neurology,46-60,Procedure
Treatment was as expected. Regular facility conditions.,1,2024-11-02 11:26:59.487474,Cardiology,18-30,Consultation
Very efficient process. Very impressed with the healthcare provider's expertise.,2,2024-11-02 11:26:59.488599,Orthopedics,75+,Routine Checkup
"Got seen right away. Additionally, Very effective treatment. Additionally, medical team provided excellent care and attention.",2,2024-11-03 11:26:59.447096,Oncology,31-45,Emergency
Waited as expected.,1,2024-11-03 11:26:59.450312,Orthopedics,75+,Emergency
The waiting time was frustrating.,0,2024-11-03 11:26:59.455707,Emergency,61-75,Follow-up
"Regular facility conditions. Also, Waited as expected.",1,2024-11-03 11:26:59.457372,Obstetrics,31-45,Follow-up
Completely satisfied with the care received.,2,2024-11-03 11:26:59.463241,Obstetrics,61-75,Emergency
"The nurse seemed rushed and inattentive. Additionally, Excessive waiting time. Additionally, The treatment wasn't effective.",0,2024-11-03 11:26:59.465286,Pediatrics,18-30,Procedure
The facility needs updating! Excessive waiting time.,0,2024-11-03 11:26:59.467651,Obstetrics,75+,Follow-up
The staff member took time to explain everything clearly.,2,2024-11-03 11:26:59.467844,Orthopedics,18-30,Routine Checkup
"No delays in the appointment. Also, Exceptional service from the receptionist.",2,2024-11-03 11:26:59.468532,Oncology,31-45,Emergency
Treatment was as expected.,1,2024-11-03 11:26:59.469306,Obstetrics,46-60,Follow-up
Normal wait times! Treatment was as expected.,1,2024-11-03 11:26:59.471093,Emergency,75+,Emergency
Impressed with how quickly I was seen! receptionist provided excellent care and attention! Very effective treatment.,2,2024-11-03 11:26:59.471272,Emergency,31-45,Consultation
"Minimal waiting time. Moreover, physician provided excellent care and attention. Moreover, The procedure went very well.",2,2024-11-03 11:26:59.476804,Orthopedics,75+,Emergency
Standard hospital environment! The staff member was okay! Standard procedure.,1,2024-11-03 11:26:59.476837,Obstetrics,31-45,Emergency
"Poor treatment experience. Moreover, Excessive waiting time. Moreover, Disappointed with the surgeon's attitude.",0,2024-11-03 11:26:59.480180,Oncology,75+,Routine Checkup
Standard hospital environment.,1,2024-11-03 11:26:59.480589,Neurology,61-75,Procedure
Unsatisfactory treatment outcome.,0,2024-11-03 11:26:59.491316,Orthopedics,46-60,Routine Checkup
Well-maintained hospital environment. Got seen right away.,2,2024-11-03 11:26:59.493124,Oncology,31-45,Follow-up
The procedure didn't help much! Poor maintenance of the premises! The staff member seemed rushed and inattentive.,0,2024-11-04 11:26:59.447737,Neurology,61-75,Consultation
Unacceptable delays. Unsatisfactory treatment outcome. The physician didn't address my concerns.,0,2024-11-04 11:26:59.450041,Neurology,46-60,Procedure
Excellent facilities.,2,2024-11-04 11:26:59.450169,Orthopedics,61-75,Follow-up
Not happy with the results! Outdated equipment.,0,2024-11-04 11:26:59.451511,Oncology,31-45,Emergency
"healthcare provider provided excellent care and attention. Additionally, The facility was clean and modern. Additionally, Very effective treatment.",2,2024-11-04 11:26:59.452309,General Medicine,46-60,Routine Checkup
Poor treatment experience! Unacceptable delays.,0,2024-11-04 11:26:59.455051,Cardiology,61-75,Procedure
"Regular interaction with the doctor. Moreover, Regular treatment process.",1,2024-11-04 11:26:59.455501,Cardiology,46-60,Emergency
Excellent facilities. Got seen right away. The physician took time to explain everything clearly.,2,2024-11-04 11:26:59.455629,Orthopedics,61-75,Routine Checkup
"Spent hours waiting. Additionally, Disappointed with the surgeon's attitude. Additionally, The facility needs updating.",0,2024-11-04 11:26:59.458278,Pediatrics,18-30,Emergency
"Cleanliness issues in the facility. Also, Excessive waiting time.",0,2024-11-04 11:26:59.459196,Oncology,46-60,Routine Checkup
"Poor maintenance of the premises. Additionally, Spent hours waiting. Additionally, The doctor didn't address my concerns.",0,2024-11-04 11:26:59.461340,Surgery,75+,Follow-up
"Outdated equipment. Also, Excessive waiting time.",0,2024-11-04 11:26:59.463074,Cardiology,61-75,Routine Checkup
Spent hours waiting. Poor communication from the specialist.,0,2024-11-04 11:26:59.464571,Neurology,75+,Emergency
"Well-maintained hospital environment. Also, Impressed with how quickly I was seen. Also, Excellent treatment results.",2,2024-11-04 11:26:59.466047,Obstetrics,75+,Emergency
Excellent treatment results! Well-maintained hospital environment! Very efficient process.,2,2024-11-04 11:26:59.466243,Pediatrics,18-30,Consultation
Unsatisfactory treatment outcome.,0,2024-11-04 11:26:59.466781,Neurology,61-75,Routine Checkup
The facility needs updating. Had to wait too long.,0,2024-11-04 11:26:59.468858,Obstetrics,46-60,Consultation
"The procedure went very well. Also, No delays in the appointment.",2,2024-11-04 11:26:59.471673,Orthopedics,31-45,Emergency
"Disappointed with the specialist's attitude. Moreover, Had to wait too long.",0,2024-11-04 11:26:59.476971,Orthopedics,31-45,Routine Checkup
The surgeon was not very helpful. The facility needs updating.,0,2024-11-04 11:26:59.477202,Oncology,18-30,Emergency
The staff member was extremely professional and caring! Very comfortable environment.,2,2024-11-04 11:26:59.480228,Orthopedics,61-75,Procedure
Standard procedure! Waited as expected! The specialist was okay.,1,2024-11-04 11:26:59.480574,Pediatrics,18-30,Consultation
Minimal waiting time.,2,2024-11-04 11:26:59.482348,Surgery,18-30,Routine Checkup
State-of-the-art equipment.,2,2024-11-04 11:26:59.484231,Orthopedics,18-30,Consultation
Minimal waiting time! Excellent facilities.,2,2024-11-04 11:26:59.484870,Emergency,18-30,Consultation
"The healthcare provider didn't address my concerns. Additionally, Poor maintenance of the premises. Additionally, Unacceptable delays.",0,2024-11-04 11:26:59.488429,Obstetrics,61-75,Consultation
receptionist did their job as expected.,1,2024-11-04 11:26:59.489087,Orthopedics,61-75,Routine Checkup
"Excellent treatment results. Additionally, The staff member took time to explain everything clearly.",2,2024-11-04 11:26:59.489634,Surgery,46-60,Follow-up
"Poor maintenance of the premises. Moreover, The receptionist didn't address my concerns.",0,2024-11-04 11:26:59.491905,Oncology,31-45,Emergency
"The wait was reasonable. Moreover, Treatment was as expected. Moreover, staff member did their job as expected.",1,2024-11-04 11:26:59.492130,Surgery,75+,Consultation
Had to wait too long. Poor maintenance of the premises. The physician seemed rushed and inattentive.,0,2024-11-04 11:26:59.492247,Pediatrics,31-45,Follow-up
"The nurse was okay. Moreover, Standard hospital environment.",1,2024-11-04 11:26:59.492559,Obstetrics,61-75,Procedure
"The specialist was present when needed. Also, Standard procedure. Also, Acceptable cleanliness.",1,2024-11-04 11:26:59.492574,Surgery,31-45,Procedure
